 HAFL_pntsource            SWAT+ Jan 11 2024        MODULAR Rev 2024.61.0                                 
 ob_typ         props       area_ha   flash_idx       mean          max        p.1               p.5           p1                 p2             p3             p5            p10            p15            p20            p25            p30            p35            p40            p45            p50            p55            p60            p65            p70            p75            p80            p85            p90            p95            p97            p98            p99            min 
 chandeg          200  9.9999997E-06  2.1042553E-04  0.0000000E+00  1.0040794E-02  5.0449427E-03  4.4170693E-03  3.2060237E-03  2.6433039E-03  2.5310679E-03  2.2704990E-03  1.5464511E-03  1.0424197E-03  6.9256540E-04  4.4448362E-04  3.6289424E-04  2.7212000E-04  1.5693269E-04  9.0773836E-05  4.2048156E-05  2.8657292E-05  1.4798726E-05  9.6194726E-06  5.8211758E-06  3.1051509E-06  2.0221648E-06  1.5667084E-06  1.1900515E-06  8.9863437E-07  8.6267511E-07  8.1441902E-07  7.7878582E-07  1.7318943E-12
 chandeg           17   7.007400      2.5276604E-04  0.0000000E+00  5.7635378E-02  3.0956423E-02  2.9958347E-02  2.5762066E-02  2.3638546E-02  2.0270146E-02  1.5996814E-02  9.8226545E-03  7.4377442E-03  5.1965988E-03  3.8860035E-03  2.8807281E-03  2.2203925E-03  1.7701472E-03  1.4002318E-03  1.0768122E-03  8.2559622E-04  5.8381521E-04  4.2045716E-04  2.7220897E-04  1.7832794E-04  9.8835844E-05  3.4579636E-05  1.2863345E-05  5.5261253E-06  3.0991398E-06  2.6005450E-06  2.1972489E-06  0.0000000E+00
 chandeg           63   8.835200      2.3865001E-04  0.0000000E+00  9.5371634E-02  5.6284845E-02  5.3260028E-02  4.8359789E-02  4.2446371E-02  3.7953377E-02  3.0404406E-02  1.7848883E-02  1.3387783E-02  9.2542367E-03  7.0305127E-03  5.1343534E-03  3.9338591E-03  2.6604424E-03  1.8734607E-03  1.4177148E-03  1.1320164E-03  8.8766793E-04  5.6001352E-04  3.6512438E-04  2.8539618E-04  2.2173564E-04  1.4636631E-04  7.8087032E-05  3.2914333E-05  1.9646459E-05  1.2710435E-05  8.0754844E-06  0.0000000E+00
 chandeg           73   10.69170      1.7940061E-04  0.0000000E+00  3.1525858E-02  9.6260840E-03  8.4088612E-03  7.7689230E-03  6.9045867E-03  6.3119289E-03  4.9357153E-03  3.2003184E-03  2.4758175E-03  2.0255169E-03  1.6270169E-03  1.3914867E-03  1.1672014E-03  9.9907827E-04  8.4215152E-04  7.0681085E-04  5.7263789E-04  4.4188951E-04  3.4241259E-04  2.5099309E-04  1.6810760E-04  1.0335061E-04  6.4733489E-05  3.2257281E-05  9.4099278E-06  5.8417263E-06  4.7028147E-06  4.0752366E-06  0.0000000E+00
 chandeg           88   7.020800      2.3724155E-04  0.0000000E+00  5.6958064E-02  2.8189739E-02  2.6368642E-02  2.3160040E-02  2.0265372E-02  1.8084126E-02  1.4512273E-02  9.3484269E-03  7.0927953E-03  5.3281840E-03  3.6457016E-03  2.3667144E-03  1.6604046E-03  1.3433481E-03  9.9765975E-04  7.5013295E-04  5.3391361E-04  3.7006586E-04  2.5554965E-04  1.8603631E-04  1.2710351E-04  7.0025431E-05  3.4706740E-05  1.7102582E-05  7.0870219E-06  3.6149188E-06  2.6662426E-06  2.2838592E-06  0.0000000E+00
 chandeg           90   7.468100      2.3776043E-04  0.0000000E+00  5.6803305E-02  2.8154794E-02  2.6391149E-02  2.3205252E-02  2.0226493E-02  1.8137993E-02  1.4417539E-02  9.3895104E-03  7.1084602E-03  5.3466819E-03  3.6545717E-03  2.3648932E-03  1.6618756E-03  1.3377455E-03  1.0066085E-03  7.5857161E-04  5.3437054E-04  3.7036612E-04  2.5555276E-04  1.9319287E-04  1.2710351E-04  7.1417635E-05  3.4725093E-05  1.7102580E-05  7.0870219E-06  3.6149193E-06  2.6662426E-06  2.2838592E-06  0.0000000E+00
 chandeg           95   256.3586      1.5928136E-04  0.0000000E+00  2.4255414E-02  9.3100704E-03  6.7020282E-03  4.9562883E-03  3.7147175E-03  3.1906241E-03  2.8174215E-03  1.9575735E-03  1.4130194E-03  1.0354659E-03  6.7095266E-04  5.3268432E-04  4.3768273E-04  3.1943587E-04  2.7505052E-04  1.7284929E-04  1.4207744E-04  1.1332302E-04  7.9633690E-05  6.1406077E-05  5.0718878E-05  4.2508207E-05  3.7975762E-05  3.0103496E-05  2.4634832E-05  2.2594833E-05  2.0784177E-05  1.8860430E-05  0.0000000E+00
 chandeg          139   4.205300      2.0691620E-04  0.0000000E+00  4.9827095E-02  1.3826035E-02  1.0852728E-02  8.6905370E-03  7.9692984E-03  7.3867952E-03  5.5860607E-03  3.3402068E-03  2.5761556E-03  1.9452556E-03  1.5786510E-03  1.2995562E-03  9.8920532E-04  7.4389839E-04  5.3318869E-04  3.7031170E-04  3.0212113E-04  2.1934429E-04  1.7096443E-04  1.3994468E-04  1.2195630E-04  9.1486960E-05  6.4074411E-05  4.2748878E-05  2.7228458E-05  2.4649089E-05  2.1530452E-05  2.0082454E-05  0.0000000E+00
 chandeg          217  9.9999997E-06  1.3044124E-04  0.0000000E+00  5.7960097E-02  1.6429923E-02  1.3969670E-02  1.1313928E-02  1.0050276E-02  9.5646437E-03  8.9322785E-03  6.7144930E-03  3.4551537E-03  2.3105703E-03  1.8066274E-03  1.4305628E-03  1.1473264E-03  8.3057518E-04  5.3346512E-04  3.7047005E-04  3.0295405E-04  2.1934474E-04  1.7106927E-04  1.3999945E-04  1.2200874E-04  9.1486960E-05  6.4114953E-05  4.2749089E-05  2.7228461E-05  2.4649271E-05  2.1530452E-05  2.0109001E-05  0.0000000E+00
 chandeg          243   22.61150      2.4146251E-04  0.0000000E+00  9.5686100E-02  5.6265581E-02  5.3253423E-02  4.8347332E-02  4.2276561E-02  3.7899900E-02  3.0434137E-02  1.7871860E-02  1.3602489E-02  9.2541352E-03  7.0819310E-03  5.2813776E-03  3.9328113E-03  2.6607374E-03  1.8785974E-03  1.4206487E-03  1.1908124E-03  9.6504774E-04  5.5512378E-04  3.6089087E-04  2.9146337E-04  2.2173589E-04  1.4636631E-04  7.8184195E-05  3.2914337E-05  1.9646461E-05  1.2710435E-05  8.0754853E-06  0.0000000E+00
