date	value
20150215	0.85
20150216	0.75
20150217	0.64
20150218	0.60
20150219	0.57
20150220	0.59
20150221	0.82
20150222	0.80
20150223	0.84
20150224	0.97
20150225	0.82
20150226	0.75
20150227	0.73
20150228	0.69
20150301	0.78
20150302	1.88
20150303	1.05
20150304	0.91
20150305	0.80
20150306	0.74
20150307	0.71
20150308	0.67
20150309	0.64
20150310	0.61
20150311	0.59
20150312	0.58
20150313	0.58
20150314	0.56
20150315	0.55
20150316	0.54
20150317	0.54
20150318	0.52
20150319	0.51
20150320	0.50
20150321	0.55
20150322	0.52
20150323	0.50
20150324	0.50
20150325	0.49
20150326	0.48
20150327	0.47
20150328	0.47
20150329	0.51
20150330	1.04
20150331	0.69
20150401	0.60
20150402	0.57
20150403	0.65
20150404	0.70
20150405	0.73
20150406	0.62
20150407	0.56
20150408	0.55
20150409	0.53
20150410	0.51
20150411	0.50
20150412	0.50
20150413	0.48
20150414	0.47
20150415	0.47
20150416	0.47
20150417	0.47
20150418	0.55
20150419	0.46
20150420	0.44
20150421	0.43
20150422	0.43
20150423	0.43
20150424	0.43
20150425	0.42
20150426	0.50
20150427	0.54
20150428	1.04
20150429	0.55
20150430	0.49
20150501	2.12
20150502	2.25
20150503	3.57
20150504	1.97
20150505	1.02
20150506	1.07
20150507	0.85
20150508	0.78
20150509	0.70
20150510	0.65
20150511	0.62
20150512	0.59
20150513	0.58
20150514	0.57
20150515	0.61
20150516	0.55
20150517	0.53
20150518	0.53
20150519	0.50
20150520	0.49
20150521	0.48
20150522	0.48
20150523	0.47
20150524	0.46
20150525	0.45
20150526	0.44
20150527	0.43
20150528	0.42
20150529	0.42
20150530	0.41
20150531	0.39
20150601	0.43
20150602	0.43
20150603	0.35
20150604	0.35
20150605	0.34
20150606	0.40
20150607	0.35
20150608	0.34
20150609	0.35
20150610	0.34
20150611	0.32
20150612	0.31
20150613	0.31
20150614	0.43
20150615	0.72
20150616	0.47
20150617	0.35
20150618	0.33
20150619	0.37
20150620	0.32
20150621	0.32
20150622	0.35
20150623	0.46
20150624	0.35
20150625	0.33
20150626	0.31
20150627	0.30
20150628	0.29
20150629	0.27
20150630	0.27
20150701	0.27
20150702	0.26
20150703	0.25
20150704	0.24
20150705	0.24
20150706	0.24
20150707	0.23
20150708	0.24
20150709	0.23
20150710	0.24
20150711	0.23
20150712	0.22
20150713	0.22
20150714	0.22
20150715	0.21
20150716	0.21
20150717	0.20
20150718	0.24
20150719	0.23
20150720	0.22
20150721	0.22
20150722	0.21
20150723	0.23
20150724	0.22
20150725	0.27
20150726	0.23
20150727	0.28
20150728	0.22
20150729	0.30
20150730	0.25
20150731	0.23
20150801	0.32
20150802	0.28
20150803	0.24
20150804	0.23
20150805	0.22
20150806	0.21
20150807	0.20
20150808	0.20
20150809	0.37
20150810	0.56
20150811	0.26
20150812	0.24
20150813	0.34
20150814	0.44
20150815	0.27
20150816	0.31
20150817	0.25
20150818	0.23
20150819	0.23
20150820	0.23
20150821	0.22
20150822	0.22
20150823	0.23
20150824	0.54
20150825	0.33
20150826	0.25
20150827	0.24
20150828	0.23
20150829	0.23
20150830	0.22
20150831	0.22
20150901	0.22
20150902	0.24
20150903	0.22
20150904	0.22
20150905	0.22
20150906	0.22
20150907	0.26
20150908	0.22
20150909	0.22
20150910	0.22
20150911	0.21
20150912	0.22
20150913	0.25
20150914	0.54
20150915	0.29
20150916	0.25
20150917	0.49
20150918	0.60
20150919	0.32
20150920	0.26
20150921	0.25
20150922	0.25
20150923	0.33
20150924	0.28
20150925	0.25
20150926	0.25
20150927	0.24
20150928	0.24
20150929	0.24
20150930	0.23
20151001	0.24
20151002	0.24
20151003	0.23
20151004	0.28
20151005	0.24
20151006	0.34
20151007	0.46
20151008	0.28
20151009	0.26
20151010	0.25
20151011	0.25
20151012	0.25
20151013	0.25
20151014	0.25
20151015	0.24
20151016	0.25
20151017	0.25
20151018	0.25
20151019	0.25
20151020	0.25
20151021	0.25
20151022	0.25
20151023	0.25
20151024	0.25
20151025	0.25
20151026	0.25
20151027	0.25
20151028	0.25
20151029	0.42
20151030	0.27
20151031	0.25
20151101	0.25
20151102	0.25
20151103	0.25
20151104	0.25
20151105	0.25
20151106	0.25
20151107	0.24
20151108	0.25
20151109	0.23
20151110	0.23
20151111	0.24
20151112	0.23
20151113	0.23
20151114	0.24
20151115	0.25
20151116	0.25
20151117	0.25
20151118	0.25
20151119	0.25
20151120	0.84
20151121	0.64
20151122	0.40
20151123	0.33
20151124	0.30
20151125	0.38
20151126	0.34
20151127	0.30
20151128	0.28
20151129	0.34
20151130	0.32
20151201	0.30
20151202	0.28
20151203	0.27
20151204	0.27
20151205	0.26
20151206	0.25
20151207	0.26
20151208	0.25
20151209	0.30
20151210	0.27
20151211	0.26
20151212	0.26
20151213	0.25
20151214	0.25
20151215	0.26
20151216	0.27
20151217	0.25
20151218	0.25
20151219	0.25
20151220	0.25
20151221	0.31
20151222	0.26
20151223	0.25
20151224	0.25
20151225	0.25
20151226	0.25
20151227	0.25
20151228	0.25
20151229	0.25
20151230	0.24
20151231	0.24
20160101	0.24
20160102	0.42
20160103	0.40
20160104	0.50
20160105	0.40
20160106	0.34
20160107	0.68
20160108	1.11
20160109	2.02
20160110	1.17
20160111	2.26
20160112	1.15
20160113	0.99
20160114	0.78
20160115	0.65
20160116	0.59
20160117	0.53
20160118	0.51
20160119	0.48
20160120	0.47
20160121	0.45
20160122	0.43
20160123	0.46
20160124	0.48
20160125	0.47
20160126	0.45
20160127	0.44
20160128	0.42
20160129	0.41
20160130	0.40
20160131	0.62
20160201	0.61
20160202	0.53
20160203	0.62
20160204	0.55
20160205	0.55
20160206	0.52
20160207	0.59
20160208	0.57
20160209	0.82
20160210	0.92
20160211	0.68
20160212	0.65
20160213	1.43
20160214	1.87
20160215	1.11
20160216	0.86
20160217	0.76
20160218	0.68
20160219	0.64
20160220	0.60
20160221	0.58
20160222	0.55
20160223	0.66
20160224	0.68
20160225	0.93
20160226	0.78
20160227	0.69
